id,smiles
DR1-OMe,CCN(CCOC)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)[N+](=O)[O-]
LCM01,CCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3=CC=C(C(=C3)F)N=C=S
LCM02,CCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3=CC(=C(C=C3)N=C=S)F
LCM03,CCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3=CC=C(C=C3)C4=CC=C(C#N)C(=C4)F
LCM04,CCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3=CC=C(C=C3)C4=CC=C(C#N)C(=C4)F
LCM05,CCCC1CCC(CC1)C2=CC=C(C#CC3=CC=C(C=C3)C4=CC(=C(C#N)C(=C4)F)F)C=C2
LCM06,CCCCCC1CCC(CC1)C2=CC=C(C#CC3=CC=C(C=C3)C4=CC(=C(C#N)C(=C4)F)F)C=C2
LCM07,CCCCCC1=CC=C(C=C1)C2=CC=C(C#CC3=CC=C(C=C3)C4=CC(=C(C#N)C(=C4)F)F)C=C2
LCM08,CCCCCC1=CC=C(C=C1)C2=CC(=C(C#CC3=CC=C(C=C3)C4=CC(=C(C=C4)C#N)F)C=C2)C
LCM09,CCCCCC1=CC=C(C=C1)C2=CC(=C(C#CC3=CC=C(C=C3)C4=CC(=C(C=C4)C#N)F)C(=C2)F)F
LCM10,CCCC1=CC=C(C=C1)C2=CC=C(C#CC3=CC(=C(C(=C3)F)N=C=S)F)C=C2
LCM11,CCCCCC1=CC=C(C=C1)C2=CC=C(C#CC3=CC(=C(C(=C3)F)N=C=S)F)C=C2
LCM14,CCCCCC1=CC=C(C=C1)C2=C(C(=C(C#CC3=CC(=C(C(=C3)F)N=C=S)F)C=C2)F)F
LCM15,CCCC1=CC=C(C=C1)C(=O)OC2=CC(=C(C=C2)C(=O)OC3=CC=C(C#N)C(=C3)F)F
LCM16,CCCCCC1=CC=C(C=C1)C(=O)OC2=CC(=C(C=C2)C(=O)OC3=CC=C(C#N)C(=C3)F)F
LCM17,CCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C(=O)OC3=CC=C(C#N)C(=C3)F
LCM18,CCCCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C(=O)OC3=CC=C(C#N)C(=C3)F
PEO-0015,CN(C)C1=CC=C(C(=C1)OC)N=NC2=CC=C(C=C2)N=NC3=CC=C(C=C3)[N+](=O)[O-]
PEO-0020,CCCC1COC(C2=CC(=C(C(=C2)F)C(=O)OC3=CC(=C(C4=CC(=C(C#N)C(=C4)F)F)C(=C3)F)F)F)OC1
PEO-0021,CCCC1CCN(CC1)C2=CC=C(/C=C/C3=CC=C(C(=C(C#N)C#N)C#N)S3)C(=C2)OCCC
PEO-0022,CCOC1=CC(=C(C(=C1)F)C(=O)OC2=CC(=C(C#N)C(=C2)F)F)F
PEO-0023,CCCCCC1=CC=C(C=C1)C2=CC(=C(C=C2)C3=CC(=C(C(=C3)F)C(F)(F)OC4=CC(=C(C(=C4)F)F)F)F)F
PEO-0024,CCCC1=CC=C(C=C1)C2=CC(=C(C(=C2)F)C(F)(F)OC3=CC(=C(C(=C3)F)F)F)F
PEO-0025,CCCCCN(C)C1=CC=C(C=C1)/C=C/C2=C(C#N)C(=C(C#N)C#N)N(CCCCC)C2=O
PEO-0026,CCOC1=CC(=C(C(=C1)F)C(=O)OC2=CC(=C(C=C2)C(=O)OC3=CC(=C(C=C3)C(=O)OC4=CC(=C(C#N)C(=C4)F)F)C(F)(F)F)C(F)(F)F)F
PEO-0027,CCCC1CCN(CC1)C2=CC=C(/C=C/C3=CC=C(C4=CC=C(C(=C(C#N)C#N)C#N)S4)S3)C(=C2)OCCC
PEO-0028,CCCCCN1C=CC/2=C1CCC\C2=C/C=C/3\CCC\C(=C3/Cl)\C=C\C4=C(C#N)C(=C(C#N)C#N)OC4(C)C
PEO-0029,CCCCCN/1C2=C(C=CC=C2)C(C)(C)\C1=C/C=C/3\CCC\C(=C3/Cl)\C=C\C4=C(C#N)C(=C(C#N)C#N)OC4(C)C
PEO-0030,CCCCCN/1C2=C(C=CC=C2)C(C)(C)\C1=C/C=C/3\CCC\C(=C3/SCCCCC)\C=C\C4=C(C#N)C(=C(C#N)C#N)OC4(C)C
PEO-0031,CCCCN(CCCC)C1=CC=C(/C=C/C2=CC=C(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C4=CC=CC=C4)C(F)(F)F)S2)C(=C1)OCC5=CC=CC=C5
PEO-0032,CCCCCS/C/1=C(/CCC\C1=C/C=C/2\C(C)(C)C3=C(C=CC=C3)N2C)\C=C\C4=C(C#N)C(=C(C#N)C#N)OC4(C)C
