,PEO#,compound,,Lambda Max (DCM/AcCN),Lambda Max (neat film),phase map,"r33 (neat, assuming ne=1.7, no=1.5)",CAMB3LYP SVPD CHCl3 (Cosmo),,B3LYP SVPD CHCl3,,,DSC melt (total),,,,location,,,,
,,,MW,,,,,dipole (D),beta ,dipole,beta,beta/MW,J/g,kJ/mol,Refractive index (ne/no),Notes,lab?,first PEO#,registered PEO#,Lab book #,Max loading (%)
,rm734,,423,,,I -187.9 - N - 132.7 - NF; Cr - 139.8 - N  ,,12.9,5.50E+03,,,1.30E+01,83.5,35.3205,,,yes,#0001,#0017,,
,LCM04,,387.45,,,Cr - 93 - N - >200; 93 - N - 45 - FN?,,11.3,6.50E+03,,,1.68E+01,53.35353535,20.67182727,,might be two biphenyls,yes,#0002,#0018,,
,DR1-OMe,,328,,,I - 80 - Cr,,14.1,3.70E+04,,,1.13E+02,92.85714286,30.45714286,,,yes,#0003,#0003,,15
,peo326,,,,,Cr - ~150C (MP vey broad 20C); I - Cr - ~100C,,13.8,4.20E+04,,,#DIV/0!,,#DIV/0!,,,yes,#0004,#0004,,
,PEO519,,,,,I - 207 - FN - RT,,,,,,#DIV/0!,,#DIV/0!,,,yes,#0005,#0005,,
,PEO503,,,,,Cr - 132 - I; I - 106.3 - N - 105.1 - NF - 86.8 - Cr,,,,,,#DIV/0!,97.10144928,#DIV/0!,,,yes,#0006,#0019,,
,PEO105,,406,,,Cr - 105-115  - I; I - 87 - Cr,,14.2,4.00E+04,,,9.85E+01,93.52941176,37.97294118,,two melting peaks with some crystallation between them makes enthalpy calc too high,yes,#0007,#0007,,15
,peo390,,320.39,,,Cr - 103 - I; I - RT (slow crystallization),,12.8,3.75E+04,,,1.17E+02,79.7029703,25.53603465,,,yes,#0008,#0008,,10
,PEO691,,,,,Cr - 230 - decomp,,10,3.30E+04,,,#DIV/0!,,#DIV/0!,,,yes,#0009,#0009,,
,PEO317,,509.5,,,Cr - 124 - I; I - 42 - FN - glassy at RT,,,,,,0,92.92929293,47.34747475,,,yes,#0010,#0010,,
,PEO422,,687,,,I - 116 - FN,,,,,,0,82.4,56.6088,,,yes,#0011,#0011,,
,peo359,,,,,Cr - 225 - SmA - decomp,,,,,,#DIV/0!,,#DIV/0!,,,yes,#0012,#0012,,
,PEO318,,,,,"I - 116.5 - Cr.  Does supercool into a N (I think) ~110C, though it was reported as FN",,,,,,#DIV/0!,,#DIV/0!,,,,,,,
,PEO562,,486,447,,Cr - 171 - I (Decomp>220); I - 155 - Cr,,16.6,6.60E+04,,,1.36E+02,65.3,31.7358,,,yes,#0013,#0013,,27
,LCM10,,,,,Cr- 122.4 - N - 226 - I ; N - 110.5 - Cr,,8.3,9.10E+03,,,#DIV/0!,,#DIV/0!,,,,,,,
,LCM01,,,,,I - N - 153 - SmA -  61 - Cr,,9.8,4.50E+03,,,#DIV/0!,46.7611336,#DIV/0!,,,,,,,
,LCM02,,,,,Cr - 90 - SmA - ~170 - N,,,,,,#DIV/0!,38.40304183,#DIV/0!,,,,,,,
,LCM03,,,,,Cr - 135 - N; ,,,,,,#DIV/0!,67.03910615,#DIV/0!,,pavel's synthesis produced material with a melting point of 142,,,,,
,LCM05,,,,,Cr - 143 - N; N - 123 - Cr,,,,,,#DIV/0!,49.74358974,#DIV/0!,,,,,,,
,LCM06,,,,,Cr - 130 - N; N - 111 - Cr,,,,,,#DIV/0!,,#DIV/0!,,,,,,,
,LCM07,,,,,Cr - 185 - N; N - 170 - Cr ,,,,,,#DIV/0!,59.90990991,#DIV/0!,,,,,,,
,LCM08,,,,,Cr- 95.5 - N - 322 - I; N - ~50 - Cr,,,,,,#DIV/0!,,#DIV/0!,,,,,,,
,LCM09,,527.59,,,Cr - 121.2 - N - 300 - I; N - 96 - Cr,,11.3,1.70E+04,,,3.22E+01,54.56038647,28.7855143,,,,,,,
,LCM11,,,,,Cr - 122.1 - N - 210.4 - I; N - 120 - SmA - 62 - SmX,,,,,,#DIV/0!,,#DIV/0!,,,,,,,
,LCM14,,,,,Cr - 48.1 - SmA - 112.5 - N - 193 - I ,,,,,,#DIV/0!,,#DIV/0!,,,,,,,
,LCM15,,421.39,,,Cr 109.6 N 230.6 Iso,,,,,,0,63.95939086,26.95184772,,,,,,,
,LCM16,,449.45,,,Cr 90.2 N 198.5 Iso,,,,,,0,60.54421769,27.21159864,,,,,,,
,LCM17,,403.4,,,Cr 96.2 N 214.2 Iso,,,,,,0,,0,,,,,,,
,LCM18,,431,,,Cr 99.3 N 213.1 Iso,,,,,,0,61.36363636,26.44772727,,,,,,,
,PEO01,,,,,Cr - 45 - I ,,,,,,#DIV/0!,97.04433498,#DIV/0!,,,yes,14,14,,
,w1038,,,,,Cr - 132 - I,,,,,,#DIV/0!,,#DIV/0!,,Poor solubility in FN hosts,yes,16,16,,
