id,parsed_transitions
rm734,I - N @ 187.9; N - NF @ 132.7; CR - N @ 139.8
LCM04,CR - N @ 93; N - FN @ 45
DR1-OMe,I - CR @ 80
peo326,
PEO519,I - FN @ 207
PEO503,CR - I @ 132; I - N @ 106.3; N - NF @ 105.1; NF - CR @ 86.8
PEO105,CR - I @ 105; I - CR @ 87
peo390,CR - I @ 103
PEO691,CR - DECOMP @ 230
PEO317,CR - I @ 124; I - FN @ 42
PEO422,I - FN @ 116
peo359,CR - SMA @ 225
PEO318,I - CR @ 116.5
PEO562,CR - I @ 171; I - CR @ 155
LCM10,CR - N @ 122.4; N - I @ 226; N - CR @ 110.5
LCM01,N - SMA @ 153; SMA - CR @ 61
LCM02,CR - SMA @ 90; SMA - N @ 170
LCM03,CR - N @ 135
LCM05,CR - N @ 143; N - CR @ 123
LCM06,CR - N @ 130; N - CR @ 111
LCM07,CR - N @ 185; N - CR @ 170
LCM08,CR - N @ 95.5; N - I @ 322; N - CR @ 50
LCM09,CR - N @ 121.2; N - I @ 300; N - CR @ 96
LCM11,CR - N @ 122.1; N - I @ 210.4; N - SMA @ 120; SMA - SMX @ 62
LCM14,CR - SMA @ 48.1; SMA - N @ 112.5; N - I @ 193
LCM15,CR - N @ 109.6; N - I @ 230.6
LCM16,CR - N @ 90.2; N - I @ 198.5
LCM17,CR - N @ 96.2; N - I @ 214.2
LCM18,CR - N @ 99.3; N - I @ 213.1
PEO01,CR - I @ 45
w1038,CR - I @ 132
PEO-0015,CR - I @ 213
PEO-0020,CR - FN @ 90; I - N @ 235; N - NF @ 182; NF - SMA @ 96; SMA - CR @ 57
PEO-0021,CR - I @ 192
PEO-0022,CR - I @ 100; I - CR @ 90
PEO-0023,CR - N @ 78; I - N @ 119; N - SMA @ 59
PEO-0024,CR - I @ 48
PEO-0025,
PEO-0026,CR - FN @ 128; I - N @ 180; N - FN @ 152
PEO-0027,CR - I @ 225
PEO-0028,CR - I @ 240
PEO-0029,CR - DECOMP @ 240
PEO-0030,GLASS - I @ 70
PEO-0031,
PEO-0032,
PEO-0033,
PEO-0034,
PEO-0035,
PEO-0036,
PEO-0037,
PEO-0038,
PEO-0039,
PEO-0040,
PEO-0041,I - FN @ 82
PEO-0042,
PEO-0043,
PEO-0044,
PEO-0045,CR - I @ 190
PEO-0046,
PEO-0047,CR - I @ 230
PEO-0048,CR - DECOMP @ 205
PEO-0049,N - SMZA @ 202; SMZA - FN @ 185; FN - NX @ 120
PEO-0050,
PEO-0051,
PEO-0052,N - FN @ 237; FN - GLASS @ 54
PEO-0053,
PEO-0054,CR - I @ 73
PEO-0055,CR - N @ 87; I - N @ 131; N - CR @ 57
PEO-0056,CR - I @ 112
PEO-0057,CR - I @ 180
PEO-0058,
PEO-0059,CR - FN @ 174; FN - N @ 250
PEO-0060,CR - I @ 215
PEO-0061,CR - I @ 150
PEO-0062,CR - I @ 180
PEO-0063,
PEO-0064,CR - I @ 163
PEO-0065,
PEO-0066,
PEO-0067,
PEO-0068,CR - I @ 90; I - N @ 76
PEO-0069,CR - I @ 230
PEO-0070,CR - SMA @ 170; SMA - SMX @ 170
PEO-0071,
PEO-0072,
PEO-0073,CR - I @ 200
PEO-0074,GLASS - I @ 115
PEO-0075,GLASS - I @ 120
PEO-0076,CR - I @ 240
PEO-0077,
PEO-0078,
PEO-0079,GLASS - I @ 72
PEO-0080,CR - DECOMP @ 250
PEO-0081,
PEO-0082,CR - I @ 170
PEO-0083,
PEO-0084,
PEO-0085,CR - DECOMP @ 230
PEO-0086,CR - DECOMP @ 265
PEO-0087,CR - I @ 231
PEO-0088,CR - I @ 215
PEO-0089,
PEO-0090,
PEO-0091,CR - I @ 160; I - N @ 120
PEO0-0092,CR - I @ 175; I - CR @ 160
PEO-0093,CR - I @ 165; I - CR @ 126
peo-0094,CR - DECOMP @ 230
PEO-0095,
PEO-0096,CR - DECOMP @ 222
PEO-0097,CR - I @ 136; I - N @ 99; N - CR @ 78
PEO-0098,CR - I @ 236; I - CR @ 180
peo-0099,
PEO-0100,CR - I @ 158; I - N @ 131; N - FN @ 122; FN - GLASS @ 37
PEO-0101,I - N @ 130; N - FN @ 124
PEO-0102,CR - N @ 165; I - N @ 183; N - NF @ 148
PEO-0103,CR - I @ 170
PEO-0104,CR - I @ 163; I - N @ 103
PEO-0105,CR - N @ 183
PEO-0106,CR - FN @ 148; FN - N @ 170; N - I @ 182
PEO-0107,CR - N @ 148; I - N @ 170; N - FN @ 141; FN - CR @ 107
PEO-0108,CR - FN @ 131; I - FN @ 143; FN - CR @ 117
PEO-0109,CR - N @ 177
PEO-0110,CR - N @ 157; N - FN @ 153
PEO-0111,CR - N @ 176
PEO-0112,CR - FN @ 130; FN - N @ 198
PEO-0113,CR - N @ 182; N - FN @ 163
PEO-0114,CR - N @ 158; N - I @ 177; I - N @ 177
PEO-0115,CR - FN @ 171; FN - I @ 187; I - FN @ 187
PEO-0116,CR - FN @ 185; FN - I @ 217; I - FN @ 217; FN - CR @ 90
PEO-0117,CR - I @ 226; I - N @ 210
PEO-0118,CR - FN @ 222; FN - CR @ 190
PEO-0119,CR - N @ 172; N - CR @ 135
PEO-0120,CR - N @ 199; N - CR @ 180
PEO-0121,CR - N @ 203; N - FN @ 149; FN - CR @ 120
PEO-0122,CR - N @ 212; N - FN @ 182; FN - GLASS @ 62
PEO-0123,CR - I @ 225; I - CR @ 190
PEO-0124,CR - I @ 170; I - N @ 155; N - FN @ 114; FN - GLASS @ 46
PEO-0125,CR - N @ 233; N - FN @ 165
PEO-0126,CR - N @ 192; N - FN @ 163; FN - GLASS @ 58
PEO-0127,CR - N @ 178; N - FN @ 120; FN - GLASS @ 54
PEO-0128,
PEO-0129,CR - DECOMP @ 265
PEO-0130,CR - N @ 235
PEO-0131,CR - I @ 194; I - N @ 190; N - GLASS @ 57.5
PEO-0132,CR - FN @ 160; N - FN @ 165; FN - GLASS @ 62
PEO-0133,CR - N @ 183; N - I @ 223; N - FN @ 135; FN - GLASS @ 56
PEO-0134,CR - N @ 181; N - FN @ 154; FN - GLASS @ 58
PEO-0135,CR - I @ 182; I - CR @ 172
PEO-0136,CR - N @ 225; N - FN @ 205; FN - GLASS @ 81
PEO-0137,CR - DECOMP @ 275
PEO-0138,CR - DECOMP @ 186
PEO-0139,CR - DECOMP @ 252
PEO-0140,CR - N @ 214; N - FN @ 151; FN - GLASS @ 71
PEO-0141,N - I @ 150
PEO-0142,FN - N @ 108; CR - I @ 188; I - N @ 162; N - FN @ 108
PEO-0143,CR - N @ 237; N - NF @ 150; NF - GLASS @ 76
PEO-0144,CR - FN @ 202; N - FN @ 207; FN - GLASS @ 74
